index,current_time,crawled_at,pressure,country,wind_direction,sky,uniq_id,visibility,temparature,dev_point,place,location,data_category,latest_report,wind,forecast,feels_like,index_date_format
24,"19 Jan 2020, 11:06:36",Sun Jan 19 15:36:37 2020, 1037 mbar,Belgium, from Northwest,Broken clouds.,9794cc28-3f90-55b6-9d7a-dad00f9a346b, N/A,2 °C, 1 °C," Weather in Liège, Belgium",Bierset,weather," 19 Jan 2020, 10:20",9 km/h ,5 / 1 °C,-1 °C,2020.01.19
25,"19 Jan 2020, 16:06:36",Sun Jan 19 15:36:37 2020, 1013 mbar,Bangladesh, from North,Sunny.,3eacd881-f043-5bd5-ad58-f7ba8ed9ea4a, 2 km,27 °C, 18 °C," Weather in Chandpur, Bangladesh",Agartala,weather," 19 Jan 2020, 15:00",2 km/h ,24 / 16 °C,28 °C,2020.01.19
26,"19 Jan 2020, 11:06:37",Sun Jan 19 15:36:37 2020, 1041 mbar,Belgium, from Northwest,Chilly.,5ccca4ca-aefe-5bd8-9f72-2aeb68c55f12, N/A,3 °C, 2 °C," Weather in Mons, Hainaut, Belgium",Chievres,weather," 19 Jan 2020, 10:25",9 km/h ,6 / 0 °C,0 °C,2020.01.19
27,"19 Jan 2020, 11:06:37",Sun Jan 19 15:36:37 2020, 1040 mbar,Belgium, from North,Chilly.,29d6c295-52eb-5af8-8f6f-e67b3afd2ff2, 14 km,3 °C, 1 °C," Weather in Ghent, East Flanders, Belgium",Munte,weather," 19 Jan 2020, 10:00",4 km/h ,6 / 0 °C,3 °C,2020.01.19
28,"19 Jan 2020, 11:06:37",Sun Jan 19 15:36:37 2020, 1038 mbar,Belgium, from North,Passing clouds.,034b2386-16a3-58a1-91c0-97838e30a9f5, N/A,3 °C, 1 °C," Weather in Mechelen, Antwerp, Belgium",Brussels National Airport,weather," 19 Jan 2020, 10:20",7 km/h ,6 / 0 °C,1 °C,2020.01.19
29,"19 Jan 2020, 11:06:36",Sun Jan 19 15:36:37 2020, 1038 mbar,Belgium, from North,Passing clouds.,16629f59-19b8-579a-8a9e-21601a3e99a1, N/A,3 °C, 1 °C," Weather in Leuven, Flemish Brabant, Belgium",Brussels National Airport,weather," 19 Jan 2020, 10:20",7 km/h ,5 / 0 °C,1 °C,2020.01.19
30,"19 Jan 2020, 11:06:37",Sun Jan 19 15:36:37 2020, 1035 mbar,Belgium, from North,Partly sunny.,906921b2-5832-5d8d-bd51-cf6c43dd7023, N/A,1 °C, 0 °C," Weather in Arlon, Luxembourg, Belgium",Luxembourg Airport,weather," 19 Jan 2020, 10:20",11 km/h ,3 / -1 °C,-2 °C,2020.01.19
31,"19 Jan 2020, 11:06:37",Sun Jan 19 15:36:37 2020, 1038 mbar,Belgium, from Northwest,Ice fog.,644046de-a3a2-5b9e-94f3-de236c279f0e, 0 km,0 °C, -2 °C," Weather in Eupen, Liège, Belgium",Spa / La Sauveniere,weather," 19 Jan 2020, 10:00",4 km/h ,4 / 0 °C,0 °C,2020.01.19
32,"19 Jan 2020, 11:06:37",Sun Jan 19 15:36:37 2020, 1038 mbar,Belgium, from North,Fog.,bedb812c-9320-5ddf-a007-21c311a8ee72, 4 km,-1 °C, -2 °C," Weather in Marche-en-Famenne, Luxembourg, Belgium",St-Hubert,weather," 19 Jan 2020, 10:00",7 km/h ,5 / -1 °C,-3 °C,2020.01.19
33,"19 Jan 2020, 11:06:37",Sun Jan 19 15:36:37 2020, 1040 mbar,Belgium, from North,Chilly.,ce2fdaa1-895d-5ab3-b250-2951d111e1b5, 14 km,3 °C, 1 °C," Weather in Dendermonde, East Flanders, Belgium",Munte,weather," 19 Jan 2020, 10:00",4 km/h ,6 / 0 °C,3 °C,2020.01.19
34,"19 Jan 2020, 11:06:37",Sun Jan 19 15:36:37 2020, 1040 mbar,Belgium, from North,Chilly.,9d9935d3-e7ce-5e08-ac55-4dd31a335910, 14 km,3 °C, 1 °C," Weather in Aalst, East Flanders, Belgium",Munte,weather," 19 Jan 2020, 10:00",4 km/h ,6 / 0 °C,3 °C,2020.01.19
35,"19 Jan 2020, 13:06:37",Sun Jan 19 15:36:37 2020, 1030 mbar,Belarus, from Southwest,Fog.,7d961d8d-eb78-5938-a5cc-ab632e74ff0d, 2 km,-2 °C, -2 °C," Weather in Mogilev, Belarus",Gorki,weather," 19 Jan 2020, 12:00",7 km/h ,3 / 0 °C,-5 °C,2020.01.19
36,"19 Jan 2020, 13:06:37",Sun Jan 19 15:36:38 2020, 1028 mbar,Belarus,na,Fog.,01a0bf28-8909-549a-b667-ad9257164af8, 1 km,0 °C, 0 °C," Weather in Brest, Belarus",Brest,weather," 19 Jan 2020, 12:00",No wind,3 / 0 °C,0 °C,2020.01.19
37,"19 Jan 2020, 13:06:37",Sun Jan 19 15:36:38 2020, 1026 mbar,Belarus, from Southwest,Light snow. Ice fog.,9e9a1f05-fe4c-5dc1-888b-a3d4441f4cf9, 3 km,-1 °C, -1 °C," Weather in Vitebsk, Belarus",Vitebsk,weather," 19 Jan 2020, 12:30",13 km/h ,2 / 1 °C,-5 °C,2020.01.19
38,"19 Jan 2020, 13:06:37",Sun Jan 19 15:36:38 2020, 1028 mbar,Belarus, from Southwest,Sleet. Cloudy.,f9955238-058c-56fe-a2c9-0abc8f49f992, 1 km,-1 °C, -1 °C," Weather in Minsk, Belarus",Minsk,weather," 19 Jan 2020, 12:30",9 km/h ,3 / 0 °C,-4 °C,2020.01.19
39,"19 Jan 2020, 13:06:37",Sun Jan 19 15:36:38 2020, 1028 mbar,Belarus, from Southwest,Sleet. Cloudy.,20a0f22f-7942-5ec3-a654-fdb8cec0d41e, 1 km,-1 °C, -1 °C," Weather in Barysaw, Belarus",Minsk,weather," 19 Jan 2020, 12:30",9 km/h ,3 / 0 °C,-4 °C,2020.01.19
40,"19 Jan 2020, 13:06:37",Sun Jan 19 15:36:38 2020, 1030 mbar,Belarus, from Southwest,Fog.,3759f7cf-6241-5cf1-b7a5-9c474c9aa933, 3 km,-2 °C, -2 °C," Weather in Salihorsk, Belarus",Sluck,weather," 19 Jan 2020, 12:00",6 km/h ,2 / 0 °C,-4 °C,2020.01.19
41,"19 Jan 2020, 13:06:38",Sun Jan 19 15:36:38 2020, 1028 mbar,Belarus, from Southwest,Fog.,4e4bdeef-8b6d-5913-9ce8-19fe5ede6a23, 1 km,2 °C, 2 °C," Weather in Grodno, Belarus",Grodno,weather," 19 Jan 2020, 12:32",2 km/h ,3 / 1 °C,2 °C,2020.01.19
42,"19 Jan 2020, 13:06:38",Sun Jan 19 15:36:38 2020, 1030 mbar,Belarus, from Southwest,Fog.,9540baa2-1ecc-544a-b445-969ab1bd163f, 3 km,-1 °C, -2 °C," Weather in Babruysk, Belarus",Bobruysr,weather," 19 Jan 2020, 12:00",4 km/h ,2 / -1 °C,-1 °C,2020.01.19
43,"19 Jan 2020, 13:06:38",Sun Jan 19 15:36:38 2020, 1028 mbar,Belarus, from South,Fog.,5dfcc975-c6de-5c0e-ad55-eb61d074a3d4, 7 km,0 °C, 0 °C," Weather in Polotsk, Belarus",Polotsk,weather," 19 Jan 2020, 12:00",2 km/h ,3 / 1 °C,0 °C,2020.01.19
44,"19 Jan 2020, 13:06:38",Sun Jan 19 15:36:38 2020, 1030 mbar,Belarus, from Southwest,Low clouds.,27113b9b-2b90-5973-85c2-375a91775fb8, 8 km,-2 °C, -4 °C," Weather in Gomel, Belarus",Gomel',weather," 19 Jan 2020, 12:30",9 km/h ,2 / -2 °C,-5 °C,2020.01.19
45,"19 Jan 2020, 11:06:38",Sun Jan 19 15:36:38 2020, 1039 mbar,Belgium, from North,Passing clouds.,3734fa95-26a9-5bdd-9e12-2c481b0c6338, N/A,5 °C, 2 °C," Weather in Antwerp, Belgium",Antwerp / Deurne,weather," 19 Jan 2020, 10:20",13 km/h ,6 / 0 °C,2 °C,2020.01.19
46,"19 Jan 2020, 11:06:38",Sun Jan 19 15:36:38 2020, 1014 mbar,Benin, from North,Partly sunny.,ebf973ce-ca4e-590f-a3fa-c698a7b2830c, 3 km,24 °C, 5 °C," Weather in Savé, Benin",Save,weather," 19 Jan 2020, 10:00",11 km/h ,37 / 19 °C,25 °C,2020.01.19
47,"19 Jan 2020, 11:06:38",Sun Jan 19 15:36:38 2020, 1014 mbar,Benin, from Northeast,Partly sunny.,d4dd1327-5816-514c-8405-b4a05618b25c, 3 km,24 °C, 2 °C," Weather in Natitingou, Benin",Natitingou,weather," 19 Jan 2020, 10:00",22 km/h ,35 / 18 °C,25 °C,2020.01.19
48,"19 Jan 2020, 11:06:38",Sun Jan 19 15:36:38 2020, 1013 mbar,Benin, from Northeast,Overcast.,79fd8b05-9323-5f95-ad42-d8d05eea2e4f, 6 km,28 °C, 25 °C," Weather in Cotonou, Benin",Cotonou,weather," 19 Jan 2020, 10:00",15 km/h ,31 / 25 °C,32 °C,2020.01.19
49,"19 Jan 2020, 11:06:38",Sun Jan 19 15:36:39 2020, 1013 mbar,Benin, from Northeast,Scattered clouds.,f20e2067-aabe-5a0f-9790-a7ab6184e80f, 6 km,27 °C, 25 °C," Weather in Porto Novo, Benin",Cotonou Airport,weather," 19 Jan 2020, 10:00",11 km/h ,33 / 24 °C,31 °C,2020.01.19
50,"19 Jan 2020, 13:06:38",Sun Jan 19 15:36:39 2020, 1016 mbar,Bahrain, from South,Passing clouds.,26358a34-9752-558a-9c47-c8a54805c9e4, N/A,22 °C, 11 °C," Weather in Riffa, Bahrain",Bahrain International Airport,weather," 19 Jan 2020, 12:30",17 km/h ,21 / 17 °C,25 °C,2020.01.19
51,"19 Jan 2020, 11:06:38",Sun Jan 19 15:36:39 2020, 1014 mbar,Benin, from Northeast,Partly sunny.,91b3f762-3e84-5435-9518-f628225a2065, 6 km,26 °C, 15 °C," Weather in Bohicon, Benin",Bohicon,weather," 19 Jan 2020, 10:00",11 km/h ,37 / 21 °C,27 °C,2020.01.19
52,"19 Jan 2020, 13:06:38",Sun Jan 19 15:36:39 2020, 1016 mbar,Bahrain, from South,Passing clouds.,567d8cc5-0ece-5062-af8b-482d536606d1, N/A,22 °C, 11 °C," Weather in Manama, Bahrain",Bahrain International Airport,weather," 19 Jan 2020, 12:30",17 km/h ,20 / 17 °C,25 °C,2020.01.19
53,"19 Jan 2020, 14:06:38",Sun Jan 19 15:36:39 2020, N/A,Azerbaijan, from East,Scattered clouds.,7b4e2ca4-cb79-5e9d-b98e-763817f9ffc7, 50 km,0 °C, -8 °C," Weather in Shaki, Azerbaijan",Ahty,weather," 19 Jan 2020, 13:00",4 km/h ,2 / -2 °C,0 °C,2020.01.19
54,"19 Jan 2020, 14:06:39",Sun Jan 19 15:36:39 2020, 1030 mbar,Azerbaijan, from Northeast,Overcast.,4020932c-134a-5a8e-bada-bacaef8f2b2d, 10 km,-1 °C, -3 °C," Weather in Khachmaz, Azerbaijan",Guba,weather," 19 Jan 2020, 13:00",2 km/h ,4 / -1 °C,-1 °C,2020.01.19
55,"19 Jan 2020, 13:06:39",Sun Jan 19 15:36:39 2020, 1030 mbar,Belarus, from South,Fog.,c9cb024f-578d-566d-943f-d8025b9120c2, 1 km,-2 °C, -2 °C," Weather in Baranovichi, Belarus",Baranovici,weather," 19 Jan 2020, 12:00",2 km/h ,2 / 0 °C,-2 °C,2020.01.19
56,"19 Jan 2020, 14:06:39",Sun Jan 19 15:36:39 2020, 1026 mbar,Azerbaijan, from North,Partly sunny.,e4d62252-665d-5349-8d75-27231d17b149, N/A,5 °C, 1 °C," Weather in Sumqayit, Azerbaijan",Baku / Bine Airport,weather," 19 Jan 2020, 13:30",30 km/h ,4 / 1 °C,0 °C,2020.01.19
57,"19 Jan 2020, 14:06:39",Sun Jan 19 15:36:39 2020, 1024 mbar ,Azerbaijan,na,Fog.,c29005fe-bc38-525a-9fc0-91842b8e106c, 4 km,-1 °C, -4 °C," Weather in Nakhchivan, Azerbaijan",Khoy,weather," 19 Jan 2020, 13:00",No wind,2 / -3 °C,-1 °C,2020.01.19
58,"19 Jan 2020, 14:06:39",Sun Jan 19 15:36:39 2020, 1024 mbar,Azerbaijan, from East,Drizzle. Fog.,baf708ac-f015-5bdd-98dc-fc056534c2a0, 5 km,2 °C, 1 °C," Weather in Ganja, Azerbaijan",Gyanca Airport,weather," 19 Jan 2020, 13:30",11 km/h ,2 / -1 °C,-1 °C,2020.01.19
59,"19 Jan 2020, 14:06:39",Sun Jan 19 15:36:39 2020, 1028 mbar,Azerbaijan, from North,Overcast.,832ff02e-7221-5f0f-8484-a51b81bf5eda, 50 km,-1 °C, -3 °C," Weather in Shirvan, Azerbaijan",Maraza,weather," 19 Jan 2020, 10:00",4 km/h ,5 / 1 °C,-1 °C,2020.01.19
60,"19 Jan 2020, 14:06:39",Sun Jan 19 15:36:39 2020, 1024 mbar,Azerbaijan, from East,Drizzle. Fog.,9d1fc4bf-270b-54cb-bf7d-1b121b261265, 5 km,2 °C, 1 °C," Weather in Mingachevir, Azerbaijan",Gyanca Airport,weather," 19 Jan 2020, 13:30",11 km/h ,6 / 2 °C,-1 °C,2020.01.19
61,"19 Jan 2020, 14:06:39",Sun Jan 19 15:36:39 2020, 1026 mbar,Azerbaijan, from North,Partly sunny.,2fa13d85-6553-5008-8393-9dcc30fbbc56, N/A,5 °C, 1 °C," Weather in Baku, Azerbaijan",Baku / Bine Airport,weather," 19 Jan 2020, 13:30",30 km/h ,5 / 2 °C,0 °C,2020.01.19
62,"19 Jan 2020, 14:06:39",Sun Jan 19 15:36:39 2020, 1028 mbar ,Azerbaijan, from North,Overcast.,584b430d-46ef-5ccf-9ad9-b9d051fe7bd6, 50 km,-1 °C, -3 °C," Weather in Shamakhi, Azerbaijan",Maraza,weather," 19 Jan 2020, 10:00",4 km/h ,0 / -4 °C,-1 °C,2020.01.19
63,"19 Jan 2020, 14:06:39",Sun Jan 19 15:36:39 2020, 1028 mbar,Azerbaijan, from Northwest,Rain. Overcast.,3a439e15-470e-5bce-a6bb-4636c6deaed8, 4 km,3 °C, 2 °C," Weather in Lankaran, Azerbaijan",Lankaran,weather," 19 Jan 2020, 10:00",4 km/h ,5 / 4 °C,3 °C,2020.01.19
64,"19 Jan 2020, 14:06:39",Sun Jan 19 15:36:40 2020, 1029 mbar,Azerbaijan, from West,Fog.,ef5db90a-5ed7-578e-8185-b77985651445, 4 km,3 °C, 1 °C," Weather in Aghjabadi, Azerbaijan",Goychay,weather," 19 Jan 2020, 10:00",2 km/h ,5 / 1 °C,3 °C,2020.01.19
65,"19 Jan 2020, 11:06:39",Sun Jan 19 15:36:40 2020, 1016 mbar,Benin, from East,Partly sunny.,9c060488-43a7-58a8-bbb0-d6f5d2c12440, 1 km,23 °C, 3 °C," Weather in Kandi, Benin",Kandi,weather," 19 Jan 2020, 10:00",22 km/h ,36 / 15 °C,24 °C,2020.01.19
66,"19 Jan 2020, 04:06:39",Sun Jan 19 15:36:40 2020, 1015 mbar,Belize,na,Overcast.,c9260538-2a85-5c65-bde2-f3db0be898d8, 25 km,24 °C, 23 °C," Weather in San Pedro, Belize",Belize / Phillip Goldston Intl. Airport,weather," 19 Jan 2020, 03:00",No wind,27 / 25 °C,23 °C,2020.01.19
67,"19 Jan 2020, 04:06:39",Sun Jan 19 15:36:40 2020, 1017 mbar,Belize, from East,Drizzle. Overcast.,57053ede-9ae9-570f-a055-979ea0a773e6, 8 km,25 °C, 23 °C," Weather in Orange Walk Town, Belize",Chetumal  Q. Roo,weather," 19 Jan 2020, 00:00",6 km/h ,29 / 22 °C,25 °C,2020.01.19
68,"19 Jan 2020, 04:06:39",Sun Jan 19 15:36:40 2020, 1015 mbar,Belize,na,Overcast.,d96a5934-659d-55f3-b158-8332f2991b7c, 25 km,24 °C, 23 °C," Weather in Belmopan, Belize",Belize / Phillip Goldston Intl. Airport,weather," 19 Jan 2020, 03:00",No wind,29 / 20 °C,23 °C,2020.01.19
69,"19 Jan 2020, 04:06:39",Sun Jan 19 15:36:40 2020, 1014 mbar,Belize,na,Partly cloudy.,b38fab2f-72b2-5249-bfe2-0ad2c058a92b, N/A,24 °C, 23 °C," Weather in Punta Gorda, Belize",Puerto Barrios Airport,weather," 19 Jan 2020, 03:00",No wind,27 / 23 °C,23 °C,2020.01.19
70,"19 Jan 2020, 04:06:40",Sun Jan 19 15:36:40 2020, 1015 mbar,Belize,na,Overcast.,12af6d00-5c67-5402-8c69-1a8b64d7d9cc, 25 km,24 °C, 23 °C," Weather in Dangriga, Belize",Belize / Phillip Goldston Intl. Airport,weather," 19 Jan 2020, 03:00",No wind,27 / 24 °C,23 °C,2020.01.19
71,"19 Jan 2020, 04:06:40",Sun Jan 19 15:36:40 2020, 1015 mbar,Belize,na,Overcast.,8d3324ef-3fd1-50f6-8fe2-acff0aa88ce0, 25 km,24 °C, 23 °C," Weather in Belize City, Belize",Belize / Phillip Goldston Intl. Airport,weather," 19 Jan 2020, 03:00",No wind,27 / 25 °C,23 °C,2020.01.19
72,"19 Jan 2020, 11:06:40",Sun Jan 19 15:36:40 2020, N/A,Austria, from Northeast,Light snow. Ice fog.,e894f250-7ca9-5e97-9c77-a78d629c8023, 0 km,-14 °C, -17 °C," Weather in Zell am See, Salzburg, Austria",Sonnblick,weather," 19 Jan 2020, 10:00",11 km/h ,0 / -8 °C,-21 °C,2020.01.19
73,"19 Jan 2020, 11:06:40",Sun Jan 19 15:36:40 2020, 1034 mbar,Austria, from Northwest,Overcast.,3c0f2358-4dfb-5bd0-a93b-c85aa005ddfa, 15 km,1 °C, 0 °C," Weather in Rankweil, Vorarlberg, Austria",Feldkirch,weather," 19 Jan 2020, 10:00",2 km/h ,2 / -8 °C,1 °C,2020.01.19
74,"19 Jan 2020, 11:06:40",Sun Jan 19 15:36:40 2020, N/A,Austria, from Southeast,Passing clouds.,6d2d27a9-2585-5efe-ad06-59e8defe3d2b, 2 km,, N/A," Weather in Perg, Upper Austria, Austria",Stadt Haag / Heimberg,weather," 19 Jan 2020, 04:00",30 km/h ,3 / -1 °C,,2020.01.19
75,"19 Jan 2020, 11:06:40",Sun Jan 19 15:36:40 2020, 1034 mbar ,Austria,na,Fog.,c1f5482d-c432-50d6-990b-d7af472d6b40, N/A,1 °C, -1 °C," Weather in Wörgl, Tyrol, Austria",Kufstein,weather," 19 Jan 2020, 10:00",No wind,2 / -5 °C,1 °C,2020.01.19
76,"19 Jan 2020, 11:06:40",Sun Jan 19 15:36:40 2020, 1034 mbar,Austria, from Northwest,Overcast.,4198aa63-c665-5629-87be-b0e50e0139fe, 15 km,1 °C, 0 °C," Weather in Hohenems, Vorarlberg, Austria",Feldkirch,weather," 19 Jan 2020, 10:00",2 km/h ,3 / -6 °C,1 °C,2020.01.19
77,"19 Jan 2020, 11:06:40",Sun Jan 19 15:36:40 2020, N/A,Austria, from Southeast,Passing clouds.,eceecd9d-68f5-55fa-a768-84c6b864c568, 4 km,, N/A," Weather in Hermagor-Pressegger See, Carinthia, Austria",Spittal / Drau-Kleinsass,weather," 19 Jan 2020, 04:00",22 km/h ,1 / -7 °C,,2020.01.19
